Cruzeta,2403004,cruzetense,JOAQUIM JOS&Eacute; DE MEDEIROS,295.830,7968,26.93,99.3,0.654,10.75,20643.19757,18859.94816,13873.42,
Currais Novos,2403103,currais-novense,ODON OLIVEIRA DE SOUZA J&Uacute;NIOR,864.349,45022,49.35,97.8,0.691,10.8,80448.96939,74094.08218,16947.02,
Doutor Severiano,2403202,severianense,FRANCISCO NERI DE OLIVEIRA,113.737,7068,59.96,97.6,0.621,-,21195.77213,18437.92035,9090.65,
Parnamirim,2403251,parnamirinense,ROSANO TAVEIRA DA CUNHA,124.006,272490,1639.70,97.9,0.766,12.42,444026.48992,385729.94785,21398.33,
Encanto,2403301,encantense,ALBERONE NERI DE OLIVEIRA LIMA,125.749,5697,41.60,97.5,0.629,23.53,16550.97502,15671.6726,8874.85,
Equador,2403400,equadoense,CLETSON RIVALDO DE OLIVEIRA,264.985,6064,21.97,98.9,0.623,14.29,17353.81786,16247.53261,10682.34,
Esp&iacute;rito Santo,2403509,esp&iacute;rito-santense,FERNANDO LUIZ TEIXEIRA DE CARVALHO,135.838,10463,77.11,95.5,0.558,17.09,25044.07275,20422.97182,7822.83,
Extremoz,2403608,extremozense,JUSSARA SALES DE SOUZA,140.639,29282,176.03,96.6,0.660,15.63,80913.26618,72936.48877,15803.00,
Felipe Guerra,2403707,felipe-guerrense,SALOMAO GOMES DE OLIVEIRA,268.591,6009,21.35,99.2,0.636,-,26645.90369,26026.11492,17417.53,
Fernando Pedroza,2403756,fernando-pedrozense,SANDRA JAQUELINE JOTA RIBEIRO,322.628,3081,8.85,95.3,0.597,34.48,12938.70737,12647.35247,11235.47,
Flor&acirc;nia,2403806,floraniense,SAINT CLAY ALCANTARA SILVA DE MEDEIROS,507.892,9772,17.75,97.7,0.642,27.52,19795.24494,17382.29457,9596.90,
Francisco Dantas,2403905,francisco-dantense,JOS&Eacute; ADOLFO DA SILVEIRA NETO,181.558,2801,15.83,97.8,0.606,-,12735.9745,12210.98781,10207.36,
Frutuoso Gomes,2404002,frutuoso-gomense,JANDIARA SINARA J&Aacute;COME CAVALCANTE,63.279,4015,66.89,98.3,0.597,17.54,13670.01548,10285.86041,9353.18,
Galinhos,2404101,galinhense,FRANCINALDO SILVA DA CRUZ,340.769,2903,6.31,99.5,0.564,55.56,17046.8133,15744.85703,34715.27,
Goianinha,2404200,goianiense,HOSANIRA GALV&Atilde;O,192.279,27004,116.92,98.1,0.638,14.52,80527.00174,72612.14202,15575.97,
Governador Dix-Sept Rosado,2404309,dix-septiense,ARTUR RODRIGUES DO VALE COSTA,1129.550,13115,10.96,96.7,0.592,16.95,34354.77227,33994.1407,23095.22,
Grossos,2404408,grossense,CINTHIA SONALE SILVA ALVES E SOUZA,124.538,10541,74.28,97.8,0.664,-,33228.61499,30764.1101,15926.58,
